Person:,Organization:
 Song-Chun Zhu,UCLA
Michael Natole Jr,University at Albany
 Yiming Ying,SUNY Albany
 Siwei Lyu,"University at Albany, State University of New York"
Simon Du,Carnegie Mellon University
 Jason Lee,University of Southern California
 Yuandong Tian,Facebook AI Research
 Aarti Singh,Carnegie Mellon University
 Barnabás Póczos,CMU
Simon Du,Carnegie Mellon University
 Jason Lee,University of Southern California
Sinong Wang,The Ohio State University
 Jiashang Liu,The Ohio State University
 Ness Shroff,The Ohio State University
Susumu Tsuchida,The University of Queensland
 Fred Roosta,University of Queensland
 Marcus Gallagher,University of Queensland
Yunseok Jang,Seoul National University
 Gunhee Kim,Seoul National University
 Yale Song,Microsoft AI & Research
Ehsan Kazemi,Yale
 Morteza Zadimoghaddam,Google
 Amin Karbasi,Yale
Manolis Tsakiris,Johns Hopkins University
 Rene Vidal,Johns Hopkins University
Eduardo Laber,PUC-RIO
 Marco Molinaro,PUC-RIO
 Felipe de A. Mello Pereira,Pontifícia Universidade Católica do Rio de Janeiro
Pratik Kumar Jawanpuria,Microsoft
 Bamdev Mishra,Microsoft
ALEXANDROS GEORGOGIANNIS,TECHNICAL UNIVERSITY OF CRETE
Pan Zhou,National University of Singapore
 Jiashi Feng,National University of Singapore
Samet Oymak,"University of California, Riverside"
Zichao Long,Peking University
 Yiping Lu,Peking University
 Xianzhong Ma,Peking University
 Bin Dong,Peking University
Yiping Lu,Peking University
 Aoxiao Zhong,Zhejiang University
 Quanzheng Li,"Mass General Hospital, Harvard Medical School"
 Bin Dong,Peking University
Francisco Ruiz,Columbia University
 Michalis Titsias,Athens University of Economics and Business
 Adji Bousso Dieng,Columbia University
 David Blei,Columbia University
Keith Levin,University of Michigan
 Fred Roosta,University of Queensland
 Michael Mahoney,UC Berkeley
 Carey Priebe,Johns Hopkins University
Brenden Lake,New York University
 Marco Baroni,Facebook Artificial Intelligence Research
Tianbing Xu,"Baidu Research, USA"
 Jian Peng,UIUC
 Liang Zhao,Baidu Research USA
 Wei Xu,Baidu Research
 Qiang Liu,UT Austin
Mingrui Liu,The University of Iowa
 Xiaoxuan Zhang,University of Iowa
 Zaiyi Chen,
 Tianbao Yang,The University of Iowa
Bobby Kleinberg,Cornell
 Yuanzhi Li,Princeton University
 Yang Yuan,Cornell University
Sikun Yang,TU Darmstadt
 Heinz Koeppl,TU Darmstadt
Maria Dimakopoulou,Stanford
 Benjamin Van Roy,Stanford University
Pierre Baque,EPFL
 Edoardo Remelli,epfl
 Francois Fleuret,Idiap research institute
 EPFL Pascal Fua,"EPFL, Switzerland"
Jonathan Scarlett,National University of Singapore
Phuc Nguyen,UC Irvine
 Charless Fowlkes,UC Irvine
 Deva Ramanan,Carnegie Mellon University
chao qu,technion
 Yan Li,Georgia Institute of Technology
 Huan Xu,Georgia Tech
Andreas Loukas,EPFL
 Pierre Vandergheynst,École polytechnique fédérale de Lausanne
Heinrich Jiang,Google
 Jennifer Jang,Uber
 Samory Kpotufe,Princeton University
Trevor Campbell,MIT
 Tamara Broderick,MIT
Xiao Zhang,University of Virginia
 Simon Du,Carnegie Mellon University
 Quanquan Gu,University of Virginia--> UCLA
Lu Jiang,Google
 Zhengyuan Zhou,Stanford University
 Thomas Leung,Google Inc
 Li-Jia Li,Google
 Li Fei-Fei,Stanford University & Google
Guy Blanc,Stanford University
 Steffen Rendle,Google
Wesley Tansey,Columbia University
 Yixin Wang,Columbia University
 David Blei,Columbia University
 Raul Rabadan,Columbia University Medical Center
Qiang Sun,University of Toronto
 Kean Ming Tan,University of Minnesota Twin Cities
 Han Liu,Princeton University
 Tong Zhang,Tecent AI Lab
Bingyi Kang,National University of Singapore
 Jiashi Feng,National University of Singapore
Jianbo Chen,"University of California, Berkeley"
 Le Song,Georgia Institute of Technology
 Martin Wainwright,University of California at Berkeley
 Michael Jordan,UC Berkeley
Haitao Liu,Rolls-Royce@NTU Corp Lab
 Jianfei Cai,Nanyang Technological University
 Yi Wang,Rolls-Royce Singapore
 Yew Soon ONG,Nanyang Technological University
Brendan O'Donoghue,DeepMind
 Ian Osband,Google DeepMind
 Remi Munos,DeepMind
 Vlad Mnih,Google Deepmind
Hae Beom Lee,UNIST
 Eunho Yang,KAIST / AItrics
 Sung Ju Hwang,KAIST
Shaoan Xie,Sun Yat-sen University
 Zibin Zheng,
Jihun Hamm,The Ohio State University
 Yung-Kyun Noh,Seoul National University
Georgios Damaskinos,EPFL
 El Mahdi El Mhamdi,EPFL
 Rachid Guerraoui,EPFL
 Rhicheek Patra,EPFL
 Mahsa Taziki,EPFL
Matej Balog,University of Cambridge and MPI Tübingen
 Ilya Tosltikhin,"Max Planck Institute for Intelligent Systems, Tübingen"
 Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany"
Ramesh Johari,Stanford University
 Sven Schmit,Stanford University
Tsendsuren Munkhdalai,Microsoft Research
 Xingdi Yuan,Microsoft Maluuba
 Soroush Mehri,Microsoft Research
 Adam Trischler,Microsoft Research
Yunbo Wang,Tsinghua University
 Zhifeng Gao,Tsinghua University
 Mingsheng Long,Tsinghua University
 Jianmin Wang,Tsinghua University
 Philip Yu,UIC
Siyuan Ma,The Ohio State University
 Raef Bassily,
 Mikhail Belkin,Ohio State University
Dhruv Malik,UC Berkeley
 Malayandi Palaniappan,UC Berkeley
 Jaime Fisac,UC Berkeley
 Dylan Hadfield-Menell,UC Berkeley
 Stuart Russell,UC Berkeley
 EECS Anca Dragan,"EECS Department, University of California, Berkeley"
Xingjun Ma,The University of Melbourne
 Yisen Wang,Tsinghua University
 Michael E. Houle,National Institute of Informatics
 Shuo Zhou,The University of Melbourne
 Sarah Erfani,University of Melbourne
