Person:,Organization:
 Ziheng Jiang,"Data Science Lab, JD.com"
 Jiliang Tang,Michigan State University
 Dawei Yin,"Data Science Lab, JD.com"
Xian Zhou,Shanghai Jiao Tong University
 Yanyan Shen,Shanghai Jiao Tong University
 Yanmin Zhu,Shanghai Jiao Tong University
 Linpeng Huang,"Dept. of Computer Science and Engineering, ShangHai Jiao Tong University"
Moumita Sinha,Adobe Research
 Vishwa Vinay,Adobe Research
 Harvineet Singh,Adobe Research
Nazanin Alipourfard,University of Southern California Information Sciences Institute
 Peter Fennell,University of Southern California Information Sciences Institute
 Kristina Lerman,University of Southern California Information Sciences Institute
Yan Zhang,University of Electronic Science and Technology of China
 Hongzhi Yin,The University of Queensland
 Zi Huang,The University of Queensland
 Xingzhong Du,The University of Queensland
 Guowu Yang,University of Electronic Science and Technology of China
 Defu Lian,University of Electronic Science and Technology of China
Kai Hui,Max Planck Institute for Informatics
 Andrew Yates,Max Planck Institute for Informatics
 Klaus Berberich,Max Planck Institute for Informatics
 Gerard de Melo,Rutgers University
Ziniu Hu,Peking University
 Weiqing Liu,Microsoft
 Jiang Bian,Microsoft
 Xuanzhe Liu,Peking University
 Tie-Yan Liu,Microsoft
Golnoosh Farnadi,University of California Santa Cruz
 Jie Tang,Tsinghua University
 Martine De Cock,University of Washington
 Marie-Francine Moens,KU Leuven
Kai Shu,Arizona State University
 Suhang Wang,Arizona State University
 Jiliang Tang,Michigan State University
 Yilin Wang,Arizona State University
 Huan Liu,Arizona State University
Sreyasi Nag Chowdhury,Max Planck Institute for Informatics
 Niket Tandon,Allen Institute for AI
 Hakan Ferhatosmanoglu,University of Warwick
 Gerhard Weikum,Max Planck Institute for Informatics
Marc Bury,Thyssenkrupp Industrial Solutions AG
 Chris Schwiegelshohn,Sapienza University of Rome
 Mara Sorella,Sapienza University of Rome
Long Chen,University of Glasgow
 Fajie Yuan,University of Glasgow
 Joemon Jose,University of Glasgow
 Weinan Zhang,Shanghai Jiao Tong University
Stergios Stergiou,Yahoo Research
 Dipen Rughwani,Yahoo Research
 Kostas Tsioutsiouliklis,Yahoo Research
