authors,titles,hrefs
Minjoon Seo · Sewon Min · Ali   Farhadi · Hannaneh   Hajishirzi,Neural Speed Reading via Skim-RNN,https://openreview.net/forum?id=Sy-dQG-Rb
Gregory Farquhar · Tim   Rocktaeschel · Maximilian Igl · Shimon Whiteson,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning,https://openreview.net/forum?id=H1dh6Ax0Z
Yingzhen Li · Richard E Turner,Gradient Estimators for Implicit Models,https://openreview.net/forum?id=SJi9WOeRb
Jianbo Ye · Xin Lu · Zhe Lin · James Z Wang,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,https://openreview.net/forum?id=HJ94fqApW
Simon S Du · Jason D Lee · Yuandong   Tian,When is a Convolutional Filter Easy to Learn?,https://openreview.net/forum?id=SkA-IE06W
Quan Hoang · Tu D Nguyen · Trung Le · Dinh Phung,MGAN: Training Generative Adversarial Nets with Multiple Generators,https://openreview.net/forum?id=rkmu5b0a-
Yanshuai Cao · Gavin Weiguang Ding · Yik Chau Lui · Ruitong   Huang,Improving GAN Training via Binarized Representation Entropy (BRE) Regularization,https://openreview.net/forum?id=BkLhaGZRW
Gabriel   Barth-maron · Matthew   Hoffman · David Budden · Will   Dabney · Daniel Horgan · Dhruva Tirumala Bukkapatnam · Alistair M Muldal · Nicolas   Heess · Timothy Lillicrap,Distributed Distributional Deterministic Policy Gradients,https://openreview.net/forum?id=SyZipzbCb
Evan Z Liu · Kelvin   Guu · Panupong Pasupat · Tim Shi · Percy Liang,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,https://openreview.net/forum?id=ryTp3f-0-
David Janz · Jos van der Westhuizen · Brooks Paige · Matt J Kusner · José Miguel Hernández Lobato,Learning a Generative Model for Validity in Complex Discrete Structures,https://openreview.net/forum?id=rkrC3GbRW
Wen Sun · J. A Bagnell · Byron   Boots,TRUNCATED HORIZON POLICY SEARCH: COMBINING REINFORCEMENT LEARNING &amp; IMITATION LEARNING,https://openreview.net/forum?id=ryUlhzWCZ
Yeming Wen · Paul Vicol · Jimmy Ba · Dustin Tran · Roger Grosse,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,https://openreview.net/forum?id=rJNpifWAb
Jaehong Yoon · Eunho Yang · Jeongtae Lee · Sung Ju Hwang,Lifelong Learning with Dynamically Expandable Networks,https://openreview.net/forum?id=Sk7KsfW0-
Kangwook Lee · Hoon Kim · Changho Suh,Simulated+Unsupervised Learning With Adaptive Data Generation and Bidirectional Mappings,https://openreview.net/forum?id=SkHDoG-Cb
Daniel Im · He Ma · Graham W Taylor · Kristin   Branson,Quantitatively Evaluating GANs With Divergences Proposed for Training,https://openreview.net/forum?id=SJQHjzZ0-
Angus Galloway · Graham W Taylor · Medhat Moussa,Attacking Binarized Neural Networks,https://openreview.net/forum?id=HkTEFfZRb
Rajarshi Das · Shehzaad Dhuliawala · Manzil Zaheer · Luke   Vilnis · Ishan   Durugkar · Akshay Krishnamurthy · Alex   Smola · Andrew   McCallum,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,https://openreview.net/forum?id=Syg-YfWCW
Deepak Pathak · Parsa Mahmoudieh · Guanghao Luo · Pulkit Agrawal · Dian Chen · Fred   Shentu · Evan Shelhamer · Jitendra Malik · Alexei Efros · Trevor Darrell,Zero-Shot Visual Imitation,https://openreview.net/forum?id=BkisuzWRW
Dipankar   Das · Naveen Mellempudi · Dheevatsa Mudigere · Dhiraj   Kalamkar · Sasikanth Avancha · Kunal Banerjee · Srinivas Sridharan · Karthik   Vaidyanathan · Bharat Kaul · Evangelos Georganas · Alexander   Heinecke · Pradeep K Dubey · Jesus   Corbal · Nikita   Shustrov · Roma   Dubtsov · Evarist   Fomenko · Vadim Pirogov,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,https://openreview.net/forum?id=H135uzZ0-
Aviv   Tamar · Khashayar Rohanimanesh · Yinlam Chow · Chris Vigorito · Ben   Goodrich · Michael   Kahane · Derik   Pridmore,Imitation Learning from Visual Data with Multiple Intentions,https://openreview.net/forum?id=Hk3ddfWRW
Mikolaj Binkowski · Dougal Sutherland · Michael   Arbel · Arthur   Gretton,Demystifying MMD GANs,https://openreview.net/forum?id=r1lUOzWCW
Cian Eastwood · Chris Williams,A Framework for the Quantitative Evaluation of Disentangled Representations,https://openreview.net/forum?id=By-7dz-AZ
Warren He · Bo Li · dawn song,Decision Boundary Analysis of Adversarial Examples,https://openreview.net/forum?id=BkpiPMbA-
Clemens Rosenbaum · Tim Klinger · Matt Riemer,Routing Networks: Adaptive Selection of Non-Linear Functions for Multi-Task Learning,https://openreview.net/forum?id=ry8dvM-R-
Drew A. Hudson · Christopher D Manning,Compositional Attention Networks for Machine Reasoning,https://openreview.net/forum?id=S1Euwz-Rb
Pablo Sprechmann · Siddhant Jayakumar · Jack Rae · Alexander   Pritzel · Adria P Badia · Benigno   Uria · Oriol Vinyals · Demis   Hassabis · Razvan Pascanu · Charles   Blundell,Memory-based Parameter Adaptation,https://openreview.net/forum?id=rkfOvGbCW
Nikolay Savinov · Alexey Dosovitskiy · Vladlen Koltun,Semi-parametric topological memory for navigation,https://openreview.net/forum?id=SygwwGbRW
Jesse Engel · Matthew D Hoffman · Adam Roberts,Latent Constraints: Learning to Generate Conditionally from Unconditional Generative Models,https://openreview.net/forum?id=Sy8XvGb0-
Andrew Saxe · Yamini Bansal · Joel Dapello · Madhu   Advani · Artemy Kolchinsky · Brendan D Tracey · David D Cox,On the Information Bottleneck Theory of Deep Learning,https://openreview.net/forum?id=ry_WPG-A-
Roman Novak · Yasaman Bahri · Daniel Abolafia · Jeffrey Pennington · Jascha Sohl-Dickstein,Sensitivity and Generalization in Neural Networks: an Empirical Study,https://openreview.net/forum?id=HJC2SzZCW
Yujun Lin · song   han ·   · Yu Wang · Bill Dally,Deep Gradient Compression: Reducing the Communication Bandwidth for Distributed Training,https://openreview.net/forum?id=SkhQHMW0W
Emin Orhan · Xaq Pitkow,Skip Connections Eliminate Singularities,https://openreview.net/forum?id=HkwBEMWCZ
Yaguang Li · Rose Yu · Cyrus   Shahabi · Yan   Liu,Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting,https://openreview.net/forum?id=SJiHXGWAZ
Antoine Bosselut · Omer Levy · Ari   Holtzman · Corin Ennis · Dieter Fox · Yejin Choi,Simulating Action Dynamics with Neural Process Networks,https://openreview.net/forum?id=rJYFzMZC-
Dmitriy Serdyuk · Nan Rosemary Ke · Alessandro Sordoni · Adam   Trischler · Christopher Pal · Yoshua Bengio,Twin Networks: Matching the Future for Sequence Generation,https://openreview.net/forum?id=BydLzGb0Z
Abram Friesen · Pedro Domingos,Deep Learning as a Mixed Convex-Combinatorial Optimization Problem,https://openreview.net/forum?id=B1Lc-Gb0Z
Wei Yu · David Dohan · Thang Luong · Rui Zhao · Kai Chen · Mohammad Norouzi · Quoc V Le,Fast and Accurate Reading Comprehension by Combining Self-Attention and Convolution,https://openreview.net/forum?id=B14TlG-RW
Swabha Swayamdipta · Ankur Parikh · Tom   Kwiatkowski,Multi-Mention Learning for Reading Comprehension with Neural Cascades,https://openreview.net/forum?id=HyRnez-RW
Sanjeev Arora · Mikhail Khodak · Nikunj Umesh Saunshi · Kiran Vodrahalli,"A Compressed Sensing View of Unsupervised Text Embeddings, Bag-of-n-Grams, and LSTMs",https://openreview.net/forum?id=B1e5ef-C-
Sandeep Subramanian · Adam   Trischler · Yoshua Bengio · Christopher Pal,Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning,https://openreview.net/forum?id=B18WgG-CZ
Shuohang Wang · Mo Yu · Jing   Jiang · Wei Zhang · Xiaoxiao   Guo · Shiyu   Chang · Zhiguo Wang · Tim Klinger · Gerald Tesauro · Murray Campbell,Evidence Aggregation for Answer Re-Ranking in Open-Domain Question Answering,https://openreview.net/forum?id=rJl3yM-Ab
Yan Wu · Greg   Wayne · Alex   Graves · Timothy Lillicrap,The Kanerva Machine: A Generative Distributed Memory,https://openreview.net/forum?id=S1HlA-ZAZ
William A Falcon · Henning Schulzrinne,Predicting Floor-Level for 911 Calls with Neural Networks and Smartphone Sensor Data,https://openreview.net/forum?id=ryBnUWb0b
Yanyao Shen · Hyokun Yun · Zachary Lipton · Yakov Kronrod · anima anandkumar,Deep Active Learning for Named Entity Recognition,https://openreview.net/forum?id=ry018WZAZ
Jan Achterhold · Jan M Koehler · Anke   Schmeink · Tim Genewein,Variational Network Quantization,https://openreview.net/forum?id=ry-TW-WAb
Ashwin Vijayakumar · Abhishek Mohta · Alex Polozov · Dhruv Batra · Prateek   Jain · Sumit   Gulwani,Neural-Guided Deductive Search for Real-Time Program Synthesis from Examples,https://openreview.net/forum?id=rywDjg-RW
Taesik Na · Jong Hwan Ko · Saibal   Mukhopadhyay,Cascade Adversarial Machine Learning Regularized with a Unified Embedding,https://openreview.net/forum?id=HyRVBzap-
Shuang Wu · Guoqi Li · Feng Chen · Luping Shi,Training and Inference with Integers in Deep Neural Networks,https://openreview.net/forum?id=HJGXzmspb
Adam Earle · Andrew Saxe · Benjamin Rosman,Hierarchical Subtask Discovery with Non-Negative Matrix Factorization,https://openreview.net/forum?id=ry80wMW0W
Nikhil Mishra · Mostafa Rohaninejad · Xi   Chen · Pieter Abbeel,A Simple Neural Attentive Meta-Learner,https://openreview.net/forum?id=B1DmUzWAW
Ke Wang · Rishabh Singh · Zhendong Su,Dynamic Neural Program Embeddings for Program Repair,https://openreview.net/forum?id=BJuWrGW0Z
Guneet S Dhillon · Kamyar Azizzadenesheli · Zachary Lipton · Jeremy   Bernstein · Jean Kossaifi · Aran Khanna · anima anandkumar,Stochastic Activation Pruning for Robust Adversarial Defense,https://openreview.net/forum?id=H1uR4GZRZ
Sanjeev Arora · Andrej   Risteski · Yi   Zhang,Do GANs learn the distribution? Some Theory and Empirics,https://openreview.net/forum?id=BJehNfW0-
Sergio Valcarcel Macua · Javier Zazo · Santiago   Zazo,Learning Parametric Closed-Loop Policies for Markov Potential Games,https://openreview.net/forum?id=rJm7VfZA-
Lifu Tu · Kevin Gimpel,Learning Approximate Inference Networks for Structured Prediction,https://openreview.net/forum?id=H1WgVz-AZ
Mostafa Dehghani · Arash Mehrjou · Stephan Gouws · Jaap Kamps · Bernhard   Schoelkopf,Fidelity-Weighted Learning,https://openreview.net/forum?id=B1X0mzZCW
Emiel Hoogeboom · Jorn Peters · Taco Cohen · Max Welling,HexaConv,https://openreview.net/forum?id=r1vuQG-CW
Sashank Reddi · Satyen Kale · Sanjiv Kumar,On the Convergence of Adam and Beyond,https://openreview.net/forum?id=ryQu7f-RZ
Shiv Shankar · Vihari Piratla · Soumen   Chakrabarti · Siddhartha Chaudhuri · Preethi Jyothi · Sunita   Sarawagi,Generalizing Across Domains via Cross-Gradient Training,https://openreview.net/forum?id=r1Dx7fbCW
Andrew Jaegle · Stephen Phillips · Daphne Ippolito · Kostas Daniilidis,Understanding image motion with group representations ,https://openreview.net/forum?id=SJLlmG-AZ
Geoffrey E Hinton · Sara Sabour · Nicholas Frosst,Matrix capsules with EM routing,https://openreview.net/forum?id=HJWLfGWRb
Chulhee Yun · Suvrit   Sra · Ali   Jadbabaie,Global Optimality Conditions for Deep Neural Networks,https://openreview.net/forum?id=BJk7Gf-CZ
Behnam   Neyshabur · Srinadh Bhojanapalli · Nathan Srebro,A PAC-Bayesian Approach to Spectrally-Normalized Margin Bounds for Neural Networks,https://openreview.net/forum?id=Skz_WfbCZ
Tsui-Wei Weng · Huan Zhang · Pin-Yu Chen · Jinfeng Yi · Dong   Su · Yupeng Gao · Cho-Jui   Hsieh · Luca   Daniel,Evaluating the Robustness of Neural Networks: An Extreme Value Theory Approach,https://openreview.net/forum?id=BkUHlMZ0b
Youssef Mroueh · Chun-Liang Li · Tom Sercu · Anant   Raj · Yu Cheng,Sobolev GAN,https://openreview.net/forum?id=SJA7xfb0b
Dibya Ghosh · Avi Singh · Aravind Rajeswaran · Vikash   Kumar · Sergey Levine,Divide-and-Conquer Reinforcement Learning,https://openreview.net/forum?id=rJwelMbR-
